操作内容,SUT,結果,出力時間
WebConnectコマンドでSUTに接続すること確認, Android,OK,2023-07-27_19:16:55
csvファイルへの読み込み・書き込み・参照確認, Android,OK,2023-07-27_19:16:58
excelファイルへの読み込み・書き込み・参照確認, Android,OK,2023-07-27_19:16:58
if then elseテストif文中の処理が実行, Android,OK,2023-07-27_19:16:58
if then elseテストelse文中の処理が実行, Android,OK,2023-07-27_19:16:58
Repeat Foreverコマンドで条件式がtrueになるまで処理を繰り返し実行する, Android,OK,2023-07-27_19:16:58
Repeat Timeコマンドで指定された回数まで処理を繰り返し実行する, Android,OK,2023-07-27_19:16:58
Repeat Until Conditionコマンドで条件式がtrueまで繰り返し実行すること確認, Android,OK,2023-07-27_19:16:58
Repeat Whileコマンドで条件式がtrueまで繰り返し実行すること確認, Android,OK,2023-07-27_19:16:58
Repeat With Variable = Start to Finishコマンド指定変数になるまで繰り返し実行, Android,OK,2023-07-27_19:17:08
Repeat with eachコマンドで複数グループで処理が繰り返し実行する, Android,OK,2023-07-27_19:17:08
Repeat at least once untilコマンドで条件満たすまで最低一回実行されること確認, Android,OK,2023-07-27_19:17:08
addコマンドで数値を加算する, Android,OK,2023-07-27_19:17:08
Replaceコマンドで指定テキストを入れ替え, Android,OK,2023-07-27_19:17:09
Deleteコマンドでテキストの指定文字を削除する, Android,OK,2023-07-27_19:17:09
runコマンドで指定ハンドラーを実行, Android,OK,2023-07-27_19:17:09
try_catchテストでtry中の処理を実行するパターン確認, Android,OK,2023-07-27_19:17:09
try_catchテストでcatch中の処理を実行するパターン確認, Android,OK,2023-07-27_19:17:16
RunWithNewResultsで指定スクリプトを実行, Android,OK,2023-07-27_19:17:22
KillAppコマンドで指定アプリを閉じる, Android,OK,2023-07-27_19:17:27
swipeleftコマンドでスマホ画面を切り替わる, Android,OK,2023-07-27_19:17:27
swiperightコマンドでスマホ画面を切り替わる, Android,OK,2023-07-27_19:17:30
swipeUpコマンドで上にスワイプすること確認, Android,OK,2023-07-27_19:17:36
swipeDownコマンドで下にスワイプすること確認, Android,OK,2023-07-27_19:17:39
ImageFoundコマンドで指定画像を検知する, Android,OK,2023-07-27_19:17:39
Clickコマンドで指定文字をクリックする, Android,OK,2023-07-27_19:17:46
Clickコマンドで指定画像をクリックする, Android,OK,2023-07-27_19:17:49
rotateLeftコマンドで画面を左に回転する, Android,OK,2023-07-27_19:18:05
SetDeviceOrientation portraitコマンドで画面をデフォルトに戻される, Android,OK,2023-07-27_19:18:07
SetDeviceOrientation landscapeLeftコマンドで画面を左に回転する, Android,OK,2023-07-27_19:18:10
rotateRightコマンドで画面を右に回転する, Android,OK,2023-07-27_19:18:15
SetDeviceOrientation landscapeRightコマンドで画面を右に回転する, Android,OK,2023-07-27_19:18:22
SetRemoteClipboardコマンドでテキスト貼り付けること確認, Android,OK,2023-07-27_19:18:39
TypeTextコマンドで検知するキストを入力する操作とImagefoundコマンドで入力したテキストを検知する,Android,OK,2023-07-27_19:19:03
waitforコマンドでOCRを検知する, Android,OK,2023-07-27_19:19:13
waitforコマンドで画像を検知する, Android,OK,2023-07-27_19:19:16
wait Whileコマンドで指定画像を検知する, Android,OK,2023-07-27_19:19:18
wait untilコマンドで指定画像を検知する, Android,OK,2023-07-27_19:19:20
waitforallコマンドで指定画像と文字を検知する, Android,OK,2023-07-27_19:19:24
waitコマンドで5秒の待ち時間を設定する, Android,OK,2023-07-27_19:19:31
movetoコマンドで指定の場所に移動する, Android,OK,2023-07-27_19:19:35
ReadTextコマンドで指定範囲内の文字を読み取る,Android,OK,2023-07-27_19:19:40
Dargコマンドでカーソルを指定位置に移動してマウスダウンアクション実行、Dropコマンドでカーソルを新しい位置に移動してマウスダウンアクションを放す, Android,OK,2023-07-27_19:19:48
先にPinchOutコマンドで画面を拡大する, Android,OK,2023-07-27_19:20:52
PinchInコマンドで画面を縮小する, Android,OK,2023-07-27_19:21:07
PressHomeButtonボタンでホーム画面に戻されること, Android,OK,2023-07-27_19:21:17
Log LogSuccess LogWarningコマンドテスト, Android,OK,2023-07-27_19:21:18
DisconnectコマンドでSUTと切断する, Android,OK,2023-07-27_19:21:20
Exit Repeatコマンドでリピート処理を終了する, Android,OK,2023-07-27_19:21:22
LogErrorコマンドでログが出力されること, Android,OK,2023-07-27_19:21:24
Exit Allコマンドでスクリプトの実行を終了する, Android,OK,2023-07-27_19:21:24
