Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
wait_hdl,Success,3,1,2023-04-18 14:46:15 +0900,2023-07-10 14:57:23 +0900,0:00:01
SetRemoteClipboard_hdl1,Failure,1,1,2023-06-21 10:18:42 +0900,2023-06-21 10:18:42 +0900,0:00:00
result_hdl,Success,5,4,2023-04-18 14:43:12 +0900,2023-04-18 14:46:43 +0900,0:00:01
replace_hdl,Success,2,0,2023-06-08 14:08:23 +0900,2023-06-08 14:09:43 +0900,0:00:00
rotate_hdl,Success,3,0,2023-06-20 14:38:34 +0900,2023-07-27 18:55:14 +0900,0:00:00
scroll_hdl,Success,1,0,2023-07-26 20:12:16 +0900,2023-07-26 20:12:16 +0900,0:00:00
Android_Function_Test,Failure,44,41,2023-04-19 08:58:25 +0900,2023-07-27 19:16:31 +0900,0:02:30
repeat_hdl,Success,1,0,2023-05-09 14:23:44 +0900,2023-05-09 14:23:44 +0900,0:00:00
connect_hdl,Failure,4,4,2023-04-18 13:32:32 +0900,2023-04-18 13:38:49 +0900,0:00:00
RunWithNewResults,Success,28,3,2023-06-21 10:48:56 +0900,2023-07-27 19:17:17 +0900,0:00:00
SetRemoteClipboard_hdl,Success,1,0,2023-06-21 11:00:21 +0900,2023-06-21 11:00:21 +0900,0:00:00
