操作内容,SUT,結果,出力時間
WebConnectコマンドでSUTに接続すること確認, PC,OK,2023-07-27_12:01:49
csvファイルへの読み込み・書き込み・参照確認, PC,OK,2023-07-27_12:01:51
excelファイルへの読み込み・書き込み・参照確認, PC,OK,2023-07-27_12:01:51
if then elseテストif文中の処理が実行, PC,OK,2023-07-27_12:01:51
if then elseテストelse文中の処理が実行, PC,OK,2023-07-27_12:01:51
Repeat Foreverコマンドで条件式がtrueになるまで処理を繰り返し実行する, PC,OK,2023-07-27_12:01:51
Repeat Timeコマンドで指定された回数まで処理を繰り返し実行する, PC,OK,2023-07-27_12:01:51
Repeat Until Conditionコマンドで条件式がtrueまで繰り返し実行すること確認, PC,OK,2023-07-27_12:01:51
Repeat Whileコマンドで条件式がtrueまで繰り返し実行すること確認, PC,OK,2023-07-27_12:01:51
Repeat With Variable = Start to Finishコマンド指定変数になるまで繰り返し実行, PC,OK,2023-07-27_12:02:02
Repeat with eachコマンドで複数グループで処理が繰り返し実行する, PC,OK,2023-07-27_12:02:02
Repeat at least once untilコマンドで条件満たすまで最低一回実行されること確認, PC,OK,2023-07-27_12:02:02
addコマンドで数値を加算する, PC,OK,2023-07-27_12:02:02
Replaceコマンドで指定テキストを入れ替え, PC,OK,2023-07-27_12:02:02
Deleteコマンドでテキストの指定文字を削除する, PC,OK,2023-07-27_12:02:02
runコマンド, PC,OK,2023-07-27_12:02:02
try catchテストでtry中の処理を実行するパターン確認, PC,OK,2023-07-27_12:02:02
try catchテストでcatch中の処理を実行するパターン確認, PC,OK,2023-07-27_12:02:09
RunWithNewResultsで指定スクリプトを実行, PC,OK,2023-07-27_12:02:11
ImageFoundコマンドで指定画像を検知する, PC,OK,2023-07-27_12:02:15
DoubleClickコマンドでOCR認識で指定文字をダブルクリックする, PC,OK,2023-07-27_12:02:22
Clickコマンドで指定画像をクリックする, PC,OK,2023-07-27_12:02:25
DoubleClickコマンドで指定画像をダブルクリックする, PC,OK,2023-07-27_12:02:27
Clickコマンドで指定文字をクリックする, PC,OK,2023-07-27_12:02:31
SetRemoteClipboardコマンドでコピーしたテキストを貼り付け, PC,OK,2023-07-27_12:02:36
TypeTextコマンドで検知するキストを入力する操作とImagefoundコマンドで入力したテキストを検知する,PC,OK,2023-07-27_12:02:51
waitforコマンドでOCRを検知する, PC,OK,2023-07-27_12:03:02
waitforコマンドで画像を検知する, PC,OK,2023-07-27_12:03:04
wait Whileコマンドで指定画像を検知する, PC,OK,2023-07-27_12:03:06
wait untilコマンドで指定画像を検知する, PC,OK,2023-07-27_12:03:08
waitforallコマンドで指定画像と文字を検知する, PC,OK,2023-07-27_12:03:11
waitコマンドで5秒の待ち時間を設定する, PC,OK,2023-07-27_12:03:18
movetoコマンドで指定の場所に移動する, PC,OK,2023-07-27_12:03:23
ReadTextコマンドで指定範囲内の文字を読み取る,PC,OK,2023-07-27_12:03:25
ScrollWheelDownコマンドで下に移動されること確認, PC,OK,2023-07-27_12:03:56
ScrollWheelUpコマンドで上に移動されること確認, PC,OK,2023-07-27_12:04:01
Dargコマンドでカーソルを指定位置に移動してマウスダウンアクション実行、Dropコマンドでカーソルを新しい位置に移動してマウスダウンアクションを放す, PC,OK,2023-07-27_12:04:05
TripleClickハンドラーで指定画像を三回クリック実行する, PC,OK,2023-07-27_12:04:08
MouseButtonUpコマンドコマンドでパラメータで示されたマウスボタンを押す、MouseButtonUpコマンドで放す, PC,OK,2023-07-27_12:04:12
KeyUpコマンドで指定されたキーを押し続けて、KeyDownコマンドでキーを解放する, PC,OK,2023-07-27_12:04:19
Log LogSuccess LogWarningコマンドテスト, PC,OK,2023-07-27_12:04:34
webconnectコマンドでwebdriver接続, PC,OK,2023-07-27_12:04:41
windowsizeコマンドでブラウザのウィンドウズを変更する, PC,OK,2023-07-27_12:04:45
click(WebDriver)コマンドで指定要素をクリックする, PC,OK,2023-07-27_12:04:51
DoubleClick(WebDriver)コマンドで指定要素をダブルクリックする, PC,OK,2023-07-27_12:04:55
RightClick(WebDriver)コマンドで指定要素を右クリックする, PC,OK,2023-07-27_12:04:59
drag(WebDriver)コマンドでページ上のカーソルを要素が表示される位置に移動して、dropコマンドでカーソルを放す, PC,OK,2023-07-27_12:05:06
moveto(WebDriver)コマンドで指定要素の位置に移動する, PC,OK,2023-07-27_12:05:12
webdisconnectコマンドで接続を切断する, PC,OK,2023-07-27_12:05:16
DisconnectコマンドでSUTと切断する, PC,OK,2023-07-27_12:05:18
Exit Repeatコマンドでリピート処理を終了する, PC,OK,2023-07-27_12:05:20
LogErrorコマンドでログが出力されること, PC,OK,2023-07-27_12:05:22
Exit Allコマンドでスクリプトの実行を終了する, PC,OK,2023-07-27_12:05:24
